ts;mw
02.01.2020 22:45;748,49
02.01.2020 23:00;743,16
02.01.2020 23:15;748,57
02.01.2020 23:30;742,91
02.01.2020 23:45;742,98
03.01.2020 00:00;735,53
03.01.2020 00:15;740,40
03.01.2020 00:30;738,56
03.01.2020 00:45;737,80
03.01.2020 01:00;734,00
03.01.2020 01:15;724,76
03.01.2020 01:30;730,18
03.01.2020 01:45;730,56
03.01.2020 02:00;731,85
03.01.2020 02:15;729,67
03.01.2020 02:30;725,99
03.01.2020 02:45;729,49
03.01.2020 03:00;731,70
03.01.2020 03:15;736,18
03.01.2020 03:30;740,26
03.01.2020 03:45;741,96
03.01.2020 04:00;733,56
03.01.2020 04:15;738,83
03.01.2020 04:30;740,37
03.01.2020 04:45;744,10
03.01.2020 05:00;748,89
03.01.2020 05:15;761,19
03.01.2020 05:30;773,80
03.01.2020 05:45;779,27
03.01.2020 06:00;788,56
03.01.2020 06:15;826,50
03.01.2020 06:30;845,67
03.01.2020 06:45;855,50
03.01.2020 07:00;872,46
03.01.2020 07:15;896,93
03.01.2020 07:30;901,61
03.01.2020 07:45;912,96
03.01.2020 08:00;914,93
03.01.2020 08:15;928,64
03.01.2020 08:30;923,34
03.01.2020 08:45;928,66
03.01.2020 09:00;926,16
03.01.2020 09:15;908,60
03.01.2020 09:30;912,91
03.01.2020 09:45;927,84
03.01.2020 10:00;929,51
03.01.2020 10:15;919,83
03.01.2020 10:30;915,04
03.01.2020 10:45;918,42
03.01.2020 11:00;912,74
03.01.2020 11:15;920,04
03.01.2020 11:30;918,65
03.01.2020 11:45;910,47
03.01.2020 12:00;904,57
03.01.2020 12:15;907,80
03.01.2020 12:30;904,18
03.01.2020 12:45;895,02
03.01.2020 13:00;897,82
03.01.2020 13:15;900,99
03.01.2020 13:30;889,75
03.01.2020 13:45;888,30
03.01.2020 14:00;874,77
03.01.2020 14:15;872,72
03.01.2020 14:30;873,29
03.01.2020 14:45;878,16
03.01.2020 15:00;873,15
03.01.2020 15:15;871,67
03.01.2020 15:30;860,02
03.01.2020 15:45;866,41
03.01.2020 16:00;858,58
03.01.2020 16:15;858,92
03.01.2020 16:30;853,53
03.01.2020 16:45;856,48
03.01.2020 17:00;855,75
03.01.2020 17:15;851,42
03.01.2020 17:30;847,87
03.01.2020 17:45;841,65
03.01.2020 18:00;833,34
03.01.2020 18:15;830,51
03.01.2020 18:30;827,55
03.01.2020 18:45;826,95
03.01.2020 19:00;821,25
03.01.2020 19:15;815,25
03.01.2020 19:30;810,27
03.01.2020 19:45;809,14
03.01.2020 20:00;803,81
03.01.2020 20:15;812,59
03.01.2020 20:30;809,91
03.01.2020 20:45;808,91
03.01.2020 21:00;800,35
03.01.2020 21:15;798,42
03.01.2020 21:30;791,69
03.01.2020 21:45;785,50
03.01.2020 22:00;771,18
03.01.2020 22:15;761,26
03.01.2020 22:30;761,91
03.01.2020 22:45;761,17
03.01.2020 23:00;748,54
03.01.2020 23:15;749,00
03.01.2020 23:30;745,19
03.01.2020 23:45;753,00
04.01.2020 00:00;752,95
04.01.2020 00:15;746,91
04.01.2020 00:30;736,60
04.01.2020 00:45;746,73
04.01.2020 01:00;752,44
04.01.2020 01:15;747,09
04.01.2020 01:30;740,19
04.01.2020 01:45;727,65
04.01.2020 02:00;735,11
04.01.2020 02:15;729,34
04.01.2020 02:30;723,01
04.01.2020 02:45;723,73
04.01.2020 03:00;720,44
04.01.2020 03:15;724,62
04.01.2020 03:30;723,28
04.01.2020 03:45;718,80
04.01.2020 04:00;708,42
04.01.2020 04:15;701,89
04.01.2020 04:30;701,57
04.01.2020 04:45;708,45
04.01.2020 05:00;707,08
04.01.2020 05:15;716,09
04.01.2020 05:30;712,70
04.01.2020 05:45;710,88
04.01.2020 06:00;709,82
04.01.2020 06:15;720,87
04.01.2020 06:30;721,74
04.01.2020 06:45;731,52
04.01.2020 07:00;735,76
04.01.2020 07:15;743,55
04.01.2020 07:30;737,64
04.01.2020 07:45;740,12
04.01.2020 08:00;741,93
04.01.2020 08:15;754,19
04.01.2020 08:30;749,26
04.01.2020 08:45;748,33
04.01.2020 09:00;744,30
04.01.2020 09:15;751,92
04.01.2020 09:30;743,66
04.01.2020 09:45;741,14
04.01.2020 10:00;736,78
04.01.2020 10:15;738,59
04.01.2020 10:30;736,74
04.01.2020 10:45;739,80
04.01.2020 11:00;737,79
04.01.2020 11:15;737,61
04.01.2020 11:30;725,90
04.01.2020 11:45;717,55
04.01.2020 12:00;712,18
04.01.2020 12:15;711,09
04.01.2020 12:30;711,92
04.01.2020 12:45;707,41
04.01.2020 13:00;701,46
04.01.2020 13:15;696,08
04.01.2020 13:30;691,16
04.01.2020 13:45;691,77
04.01.2020 14:00;684,43
04.01.2020 14:15;684,34
04.01.2020 14:30;681,61
04.01.2020 14:45;675,80
04.01.2020 15:00;672,93
04.01.2020 15:15;680,45
04.01.2020 15:30;677,92
04.01.2020 15:45;674,08
04.01.2020 16:00;670,62
04.01.2020 16:15;679,26
04.01.2020 16:30;679,50
04.01.2020 16:45;682,15
04.01.2020 17:00;687,01
04.01.2020 17:15;691,90
04.01.2020 17:30;688,61
04.01.2020 17:45;687,55
04.01.2020 18:00;684,23
04.01.2020 18:15;683,55
04.01.2020 18:30;678,96
04.01.2020 18:45;677,54
04.01.2020 19:00;675,74
04.01.2020 19:15;676,06
04.01.2020 19:30;669,13
04.01.2020 19:45;666,98
04.01.2020 20:00;662,66
04.01.2020 20:15;664,69
04.01.2020 20:30;659,56
04.01.2020 20:45;656,08
04.01.2020 21:00;653,68
04.01.2020 21:15;652,24
04.01.2020 21:30;644,98
04.01.2020 21:45;640,05
04.01.2020 22:00;637,04
04.01.2020 22:15;636,47
04.01.2020 22:30;632,52
04.01.2020 22:45;635,15
04.01.2020 23:00;633,10
04.01.2020 23:15;640,26
04.01.2020 23:30;636,84
04.01.2020 23:45;635,04
05.01.2020 00:00;631,36
05.01.2020 00:15;631,04
05.01.2020 00:30;633,12
05.01.2020 00:45;631,50
05.01.2020 01:00;633,30
05.01.2020 01:15;627,34
05.01.2020 01:30;630,54
05.01.2020 01:45;621,09
05.01.2020 02:00;620,33
05.01.2020 02:15;622,85
05.01.2020 02:30;621,50
05.01.2020 02:45;621,51
05.01.2020 03:00;620,16
05.01.2020 03:15;625,90
05.01.2020 03:30;621,44
05.01.2020 03:45;624,10
05.01.2020 04:00;616,71
05.01.2020 04:15;621,88
05.01.2020 04:30;621,89
05.01.2020 04:45;623,81
05.01.2020 05:00;622,25
05.01.2020 05:15;628,86
05.01.2020 05:30;624,40
05.01.2020 05:45;627,13
05.01.2020 06:00;624,71
05.01.2020 06:15;631,60
05.01.2020 06:30;630,84
05.01.2020 06:45;635,63
05.01.2020 07:00;636,36
05.01.2020 07:15;647,82
05.01.2020 07:30;643,91
05.01.2020 07:45;647,76
05.01.2020 08:00;644,49
05.01.2020 08:15;650,85
05.01.2020 08:30;645,93
05.01.2020 08:45;647,30
05.01.2020 09:00;642,79
05.01.2020 09:15;644,77
05.01.2020 09:30;640,76
05.01.2020 09:45;643,51
05.01.2020 10:00;642,77
05.01.2020 10:15;648,02
05.01.2020 10:30;645,40
05.01.2020 10:45;642,71
05.01.2020 11:00;641,18
05.01.2020 11:15;648,72
05.01.2020 11:30;644,40
05.01.2020 11:45;645,09
05.01.2020 12:00;641,94
05.01.2020 12:15;648,67
05.01.2020 12:30;645,28
05.01.2020 12:45;644,20
05.01.2020 13:00;643,39
05.01.2020 13:15;645,28
05.01.2020 13:30;639,35
05.01.2020 13:45;638,94
05.01.2020 14:00;637,12
05.01.2020 14:15;641,08
05.01.2020 14:30;637,79
05.01.2020 14:45;638,32
05.01.2020 15:00;640,55
05.01.2020 15:15;644,50
05.01.2020 15:30;641,57
05.01.2020 15:45;644,57
05.01.2020 16:00;640,67
05.01.2020 16:15;650,57
05.01.2020 16:30;648,57
05.01.2020 16:45;648,28
05.01.2020 17:00;649,13
05.01.2020 17:15;659,14
05.01.2020 17:30;652,75
05.01.2020 17:45;654,91
05.01.2020 18:00;648,68
05.01.2020 18:15;651,58
05.01.2020 18:30;646,02
05.01.2020 18:45;644,59
05.01.2020 19:00;644,55
05.01.2020 19:15;650,81
05.01.2020 19:30;648,76
05.01.2020 19:45;648,96
05.01.2020 20:00;646,14
05.01.2020 20:15;652,19
05.01.2020 20:30;653,45
05.01.2020 20:45;653,72
05.01.2020 21:00;654,61
05.01.2020 21:15;658,43
05.01.2020 21:30;665,06
05.01.2020 21:45;670,57
05.01.2020 22:00;665,42
05.01.2020 22:15;672,63
05.01.2020 22:30;680,55
05.01.2020 22:45;689,57
05.01.2020 23:00;688,62
05.01.2020 23:15;695,23
05.01.2020 23:30;693,63
05.01.2020 23:45;698,47
06.01.2020 00:00;699,03
06.01.2020 00:15;698,94
06.01.2020 00:30;702,30
06.01.2020 00:45;703,63
06.01.2020 01:00;719,76
06.01.2020 01:15;717,21
06.01.2020 01:30;716,89
06.01.2020 01:45;704,63
06.01.2020 02:00;710,59
06.01.2020 02:15;721,17
06.01.2020 02:30;710,31
06.01.2020 02:45;700,40
06.01.2020 03:00;705,94
06.01.2020 03:15;715,75
06.01.2020 03:30;715,82
06.01.2020 03:45;705,38
06.01.2020 04:00;709,47
06.01.2020 04:15;723,86
06.01.2020 04:30;725,02
06.01.2020 04:45;729,73
06.01.2020 05:00;734,64
06.01.2020 05:15;759,88
06.01.2020 05:30;767,91
06.01.2020 05:45;780,83
06.01.2020 06:00;806,77
06.01.2020 06:15;863,07
06.01.2020 06:30;903,10
06.01.2020 06:45;932,77
06.01.2020 07:00;960,30
06.01.2020 07:15;983,50
06.01.2020 07:30;989,01
06.01.2020 07:45;999,67
06.01.2020 08:00;1016,98
06.01.2020 08:15;1035,47
06.01.2020 08:30;1043,96
06.01.2020 08:45;1042,97
06.01.2020 09:00;1043,18
06.01.2020 09:15;1043,45
06.01.2020 09:30;1048,03
06.01.2020 09:45;1047,29
06.01.2020 10:00;1055,69
06.01.2020 10:15;1061,74
06.01.2020 10:30;1068,39
06.01.2020 10:45;1066,56
06.01.2020 11:00;1065,38
06.01.2020 11:15;1061,18
06.01.2020 11:30;1057,98
06.01.2020 11:45;1063,13
06.01.2020 12:00;1056,07
06.01.2020 12:15;1047,18
06.01.2020 12:30;1045,76
06.01.2020 12:45;1042,70
06.01.2020 13:00;1050,99
06.01.2020 13:15;1056,00
06.01.2020 13:30;1050,91
06.01.2020 13:45;1047,61
06.01.2020 14:00;1042,64
06.01.2020 14:15;1039,99
06.01.2020 14:30;1040,59
06.01.2020 14:45;1040,37
06.01.2020 15:00;1045,78
06.01.2020 15:15;1054,94
06.01.2020 15:30;1043,25
06.01.2020 15:45;1033,85
06.01.2020 16:00;1022,86
06.01.2020 16:15;1022,70
06.01.2020 16:30;1018,98
06.01.2020 16:45;1013,06
06.01.2020 17:00;1014,73
06.01.2020 17:15;1011,64
06.01.2020 17:30;1003,21
06.01.2020 17:45;999,45
06.01.2020 18:00;987,02
06.01.2020 18:15;980,06
06.01.2020 18:30;969,83
06.01.2020 18:45;969,81
06.01.2020 19:00;970,52
06.01.2020 19:15;978,96
06.01.2020 19:30;974,69
06.01.2020 19:45;972,10
06.01.2020 20:00;963,55
06.01.2020 20:15;961,61
06.01.2020 20:30;967,52
06.01.2020 20:45;967,61
06.01.2020 21:00;963,95
06.01.2020 21:15;955,27
06.01.2020 21:30;945,16
06.01.2020 21:45;939,50
06.01.2020 22:00;922,18
06.01.2020 22:15;914,93
06.01.2020 22:30;917,68
06.01.2020 22:45;911,25
06.01.2020 23:00;906,57
06.01.2020 23:15;906,42
06.01.2020 23:30;898,92
06.01.2020 23:45;904,04
07.01.2020 00:00;897,32
07.01.2020 00:15;890,64
07.01.2020 00:30;889,95
07.01.2020 00:45;893,78
07.01.2020 01:00;891,27
07.01.2020 01:15;882,00
07.01.2020 01:30;887,83
07.01.2020 01:45;869,67
07.01.2020 02:00;871,56
07.01.2020 02:15;872,76
07.01.2020 02:30;863,80
07.01.2020 02:45;866,67
07.01.2020 03:00;865,99
07.01.2020 03:15;874,65
07.01.2020 03:30;885,44
07.01.2020 03:45;882,70
07.01.2020 04:00;888,45
07.01.2020 04:15;900,72
07.01.2020 04:30;897,80
07.01.2020 04:45;898,40
07.01.2020 05:00;907,00
07.01.2020 05:15;928,40
07.01.2020 05:30;931,26
07.01.2020 05:45;939,80
07.01.2020 06:00;957,31
07.01.2020 06:15;1021,86
07.01.2020 06:30;1056,24
07.01.2020 06:45;1078,20
07.01.2020 07:00;1087,34
07.01.2020 07:15;1120,01
07.01.2020 07:30;1138,30
07.01.2020 07:45;1159,33
07.01.2020 08:00;1175,78
07.01.2020 08:15;1192,12
07.01.2020 08:30;1196,00
07.01.2020 08:45;1203,33
07.01.2020 09:00;1190,35
07.01.2020 09:15;1169,21
07.01.2020 09:30;1164,98
07.01.2020 09:45;1170,16
07.01.2020 10:00;1174,57
07.01.2020 10:15;1175,47
07.01.2020 10:30;1173,10
07.01.2020 10:45;1186,92
07.01.2020 11:00;1196,93
07.01.2020 11:15;1192,54
07.01.2020 11:30;1195,18
07.01.2020 11:45;1195,95
07.01.2020 12:00;1187,94
07.01.2020 12:15;1172,54
07.01.2020 12:30;1179,02
07.01.2020 12:45;1171,97
07.01.2020 13:00;1169,49
07.01.2020 13:15;1168,20
07.01.2020 13:30;1164,26
07.01.2020 13:45;1159,35
07.01.2020 14:00;1151,20
07.01.2020 14:15;1143,93
07.01.2020 14:30;1152,94
07.01.2020 14:45;1164,69
07.01.2020 15:00;1165,35
07.01.2020 15:15;1162,35
07.01.2020 15:30;1141,69
07.01.2020 15:45;1139,80
07.01.2020 16:00;1133,57
07.01.2020 16:15;1124,61
07.01.2020 16:30;1115,89
07.01.2020 16:45;1113,45
07.01.2020 17:00;1110,94
07.01.2020 17:15;1110,54
