x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90
0.36681268,0.441066,0.4089319,0.409451,0.5430449,0.5694495,0.6103096,0.63061005,0.5168888,0.54736495,0.5674361,0.5846111,0.6432972,0.6523899,0.65334994,0.49560547,0.54205734,0.5958535,0.63363266,0.68452233,0.6826209,0.688371,0.55262417,0.58104676,0.6345666,0.6431877,0.68102354,0.6890885,0.6944567,0.5478925,0.58440745,0.65378654,0.65649307,0.6900106,0.6847342,0.6720328,0.5412549,0.589425,0.6324463,0.630072,0.679018,0.6801373,0.6802562,0.5505017,0.5858654,0.6583785,0.68085414,0.70722073,0.6962329,0.68899053,0.5537713,0.6069179,0.6635696,0.6869331,0.6999738,0.7131307,0.69533634,0.55947095,0.6150488,0.66416645,0.6788204,0.7279951,0.7232259,0.7089469,0.5527684,0.5965189,0.6719534,0.69947076,0.7135437,0.71199775,0.7057504,0.5661525,0.6000811,0.6606977,0.6724217,0.7069396,0.7053355,0.72711694,0.5586864,0.6071123,0.6690414,0.6697341,0.68935996,0.7115833,0.7209829,0.5659424,0.6195222,0.6648401,0.6694677,0.71896535
0.44584885,0.29468486,0.31359097,0.40179753,0.41595334,0.6941004,0.6214536,0.6271472,0.5247449,0.32506698,0.5281423,0.7125624,0.6656371,0.6637606,0.64803356,0.53383505,0.35210872,0.562999,0.71652764,0.64088297,0.6596749,0.6454023,0.54326814,0.34550884,0.5629856,0.7403079,0.7219319,0.6970929,0.7066564,0.5846282,0.3468193,0.6262104,0.7678104,0.7052126,0.7050284,0.7142166,0.6080596,0.33890566,0.6271576,0.76500815,0.73692054,0.71545535,0.704362,0.5986472,0.3607324,0.65284866,0.7542886,0.7233892,0.7166482,0.71691126,0.60280156,0.3642726,0.6453358,0.7788801,0.7443469,0.72702235,0.74290246,0.6369818,0.37725857,0.62892604,0.78402054,0.7258121,0.74161965,0.738814,0.6054544,0.3944954,0.6502387,0.79800284,0.7494009,0.7279493,0.7258756,0.61748546,0.3673123,0.6388706,0.79725486,0.746403,0.76809317,0.74387556,0.64463174,0.3651054,0.6555241,0.78737885,0.7489466,0.74103683,0.74230874,0.65956193,0.3402357,0.64204884,0.8017284,0.75520974
0.6375431,0.32511494,0.3015271,0.29220325,0.24281639,0.4207483,0.5243698,0.5178537,0.6339632,0.35098413,0.2726919,0.4558289,0.5432167,0.5458224,0.5584196,0.67857724,0.34168205,0.26037478,0.4797011,0.55456394,0.55943435,0.5650056,0.6815543,0.3550335,0.2675022,0.50410295,0.56973547,0.6070603,0.58645236,0.72184044,0.37554854,0.25738892,0.53622425,0.6060737,0.60253006,0.6204455,0.71870965,0.37489483,0.26975197,0.55989444,0.59217817,0.62077206,0.6201841,0.71449155,0.37629235,0.25932768,0.55044526,0.62981445,0.6326562,0.62772495,0.7096788,0.3924014,0.2915518,0.53919744,0.6264257,0.62535596,0.635728,0.72489965,0.389632,0.29274756,0.5515477,0.61547875,0.6240918,0.6365078,0.74701303,0.38212615,0.28382614,0.5601346,0.6428804,0.6299263,0.63159525,0.73298544,0.3966201,0.28265166,0.56384957,0.6311775,0.6387531,0.6425179,0.75436527,0.40671867,0.28376612,0.5667673,0.65070045,0.63233215,0.62798166,0.7489741,0.40122193,0.28015205,0.57884467,0.6265336
